,Año,Trimestre,Provincia,Accesos por cada 100 hab
414,2019,3,Corrientes,10.134028114178687
415,2019,3,Entre Ríos,17.311661825597923
416,2019,3,Formosa,7.664177713890219
417,2019,3,Jujuy,11.334206981241007
418,2019,3,La Pampa,25.519002705641388
419,2019,3,La Rioja,12.762431790856121
420,2019,3,Mendoza,11.368189016279217
421,2019,3,Misiones,10.713348334458951
422,2019,3,Neuquén,19.092075679641724
423,2019,3,Río Negro,19.508498591229387
424,2019,3,Salta,10.771854623416075
425,2019,3,San Juan,9.440941485226007
426,2019,3,San Luis,24.390971166174673
427,2019,3,Santa Cruz,10.601555192584216
428,2019,3,Santa Fe,21.656424746361633
429,2019,3,Santiago Del Estero,13.725288048364083
430,2019,3,Tierra Del Fuego,28.598925193212118
431,2019,3,Tucumán,9.781574184382116
432,2019,2,Buenos Aires,22.215789484298067
433,2019,2,Capital Federal,46.08592579281094
434,2019,2,Catamarca,8.173397032450584
435,2019,2,Chaco,9.125011329267105
436,2019,2,Chubut,14.403808727896068
437,2019,2,Córdoba,20.841637242238242
438,2019,2,Corrientes,10.047459019420458
439,2019,2,Entre Ríos,17.185820444672466
440,2019,2,Formosa,7.742195783956093
441,2019,2,Jujuy,11.382934590825071
442,2019,2,La Pampa,25.39783989548608
443,2019,2,La Rioja,12.965645588675004
444,2019,2,Mendoza,11.373356541672889
445,2019,2,Misiones,10.662825595018377
446,2019,2,Neuquén,18.777900805620252
447,2019,2,Río Negro,18.792276756346176
448,2019,2,Salta,10.146610869132008
449,2019,2,San Juan,9.068540162527924
450,2019,2,San Luis,23.40822663016059
451,2019,2,Santa Cruz,8.584064828655885
452,2019,2,Santa Fe,21.201130485144205
453,2019,2,Santiago Del Estero,13.101581339388986
454,2019,2,Tierra Del Fuego,28.10756382159569
455,2019,2,Tucumán,9.942460440805863
456,2019,1,Buenos Aires,21.64173785141924
457,2019,1,Capital Federal,45.57918389943661
458,2019,1,Catamarca,8.188504627374574
459,2019,1,Chaco,8.722835003407456
460,2019,1,Chubut,13.180368061670734
461,2019,1,Córdoba,20.05952769269671
462,2019,1,Corrientes,9.25199213887151
463,2019,1,Entre Ríos,16.979402393290254
464,2019,1,Formosa,7.55368578631946
465,2019,1,Jujuy,11.867849761055307
466,2019,1,La Pampa,25.157516640472675
467,2019,1,La Rioja,13.359402478637785
468,2019,1,Mendoza,10.508862067173826
469,2019,1,Misiones,9.87579609120626
470,2019,1,Neuquén,17.526490396034294
471,2019,1,Río Negro,16.478122478195964
472,2019,1,Salta,9.711781014403453
473,2019,1,San Juan,8.108982017265918
474,2019,1,San Luis,19.271779401291518
475,2019,1,Santa Cruz,7.042691634453057
476,2019,1,Santa Fe,21.059894917387947
477,2019,1,Santiago Del Estero,9.311616280949599
478,2019,1,Tierra Del Fuego,27.684925791261847
479,2019,1,Tucumán,10.31263096739148
480,2018,4,Buenos Aires,21.058833823398523
481,2018,4,Capital Federal,45.24931394036689
482,2018,4,Catamarca,8.197333541624968
483,2018,4,Chaco,8.7108351925502
484,2018,4,Chubut,13.061729706052178
485,2018,4,Córdoba,19.92843117514227
486,2018,4,Corrientes,9.102210657080787
487,2018,4,Entre Ríos,16.257794035384702
488,2018,4,Formosa,7.568639138457005
489,2018,4,Jujuy,11.899484192418539
490,2018,4,La Pampa,24.215175627605007
491,2018,4,La Rioja,13.402859048246764
492,2018,4,Mendoza,10.536933969997644
493,2018,4,Misiones,9.38376401334208
494,2018,4,Neuquén,17.58336203291432
495,2018,4,Río Negro,15.952033444971306
496,2018,4,Salta,9.639884990122159
497,2018,4,San Juan,8.125067548299477
498,2018,4,San Luis,19.332549309229275
499,2018,4,Santa Cruz,7.049080016507051
500,2018,4,Santa Fe,20.62373640643868
501,2018,4,Santiago Del Estero,9.2821177795649
502,2018,4,Tierra Del Fuego,27.748785315817887
503,2018,4,Tucumán,10.344120436439566
504,2018,3,Buenos Aires,20.95908740104848
505,2018,3,Capital Federal,45.37709204560748
506,2018,3,Catamarca,8.373046550087581
507,2018,3,Chaco,8.628583509513742
508,2018,3,Chubut,17.28630822939319
509,2018,3,Córdoba,19.66915749676994
510,2018,3,Corrientes,9.018948170247882
511,2018,3,Entre Ríos,15.016208210741233
512,2018,3,Formosa,7.5279498103121085
513,2018,3,Jujuy,5.949165647225797
514,2018,3,La Pampa,23.64056278957734
515,2018,3,La Rioja,13.505484520192356
516,2018,3,Mendoza,10.601969231966759
517,2018,3,Misiones,8.74450949017475
518,2018,3,Neuquén,18.005451709791327
519,2018,3,Río Negro,15.546572458298687
520,2018,3,Salta,9.549341341721156
521,2018,3,San Juan,8.419357955569252
522,2018,3,San Luis,14.983359875657099
523,2018,3,Santa Cruz,9.738987459252597
524,2018,3,Santa Fe,19.939106982732063
525,2018,3,Santiago Del Estero,8.996517443513934
526,2018,3,Tierra Del Fuego,27.506021696216745
527,2018,3,Tucumán,10.325137534986972
528,2018,2,Buenos Aires,20.374582324435124
529,2018,2,Capital Federal,44.632577746788044
530,2018,2,Catamarca,8.35838388395506
531,2018,2,Chaco,8.353123614291734
532,2018,2,Chubut,16.830485129144066
533,2018,2,Córdoba,19.373198551696014
534,2018,2,Corrientes,8.903247385340823
535,2018,2,Entre Ríos,14.711648453505866
536,2018,2,Formosa,7.4919076165093035
537,2018,2,Jujuy,5.9923974768014165
538,2018,2,La Pampa,23.40701065826804
539,2018,2,La Rioja,13.570922884408905
540,2018,2,Mendoza,10.318226443150964
541,2018,2,Misiones,8.61598877251767
542,2018,2,Neuquén,17.931877810369247
543,2018,2,Río Negro,15.42558308937726
544,2018,2,Salta,9.673102808845783
545,2018,2,San Juan,8.392841711641646
546,2018,2,San Luis,4.336137508962927
547,2018,2,Santa Cruz,9.919588050940062
548,2018,2,Santa Fe,19.675591530682105
549,2018,2,Santiago Del Estero,8.750160589339375
550,2018,2,Tierra Del Fuego,27.162316515991055
551,2018,2,Tucumán,10.283671207148597
552,2018,1,Buenos Aires,20.27965291057949
553,2018,1,Capital Federal,44.562961320417855
554,2018,1,Catamarca,8.342098537275874
555,2018,1,Chaco,8.240328535251999
556,2018,1,Chubut,16.466326556340928
557,2018,1,Córdoba,19.447381073339752
558,2018,1,Corrientes,8.60133260210877
559,2018,1,Entre Ríos,14.555673456325385
560,2018,1,Formosa,5.4480098282582645
561,2018,1,Jujuy,5.912829505826147
562,2018,1,La Pampa,23.64124866231016
563,2018,1,La Rioja,13.694770063119927
564,2018,1,Mendoza,10.345843091967911
565,2018,1,Misiones,8.432278416607307
566,2018,1,Neuquén,18.31283869735193
567,2018,1,Río Negro,15.323567091543692
568,2018,1,Salta,9.633845443846392
569,2018,1,San Juan,8.306800710570991
570,2018,1,San Luis,4.335615022675048
571,2018,1,Santa Cruz,9.98473486255572
572,2018,1,Santa Fe,19.584682368757406
573,2018,1,Santiago Del Estero,8.683504190530646
574,2018,1,Tierra Del Fuego,19.33152333431171
575,2018,1,Tucumán,10.200177350055142
576,2017,4,Buenos Aires,18.61464924835486
577,2017,4,Capital Federal,51.6167209151056
578,2017,4,Catamarca,7.280600419229377
579,2017,4,Chaco,8.234501979468078
580,2017,4,Chubut,15.77581593080522
581,2017,4,Córdoba,19.390857786793124
582,2017,4,Corrientes,8.562263620309615
583,2017,4,Entre Ríos,14.317635180183578
584,2017,4,Formosa,5.414060072151437
585,2017,4,Jujuy,5.81583543877829
586,2017,4,La Pampa,23.409929773918797
587,2017,4,La Rioja,13.727965660359493
588,2017,4,Mendoza,9.300280994440511
589,2017,4,Misiones,8.482789477895514
590,2017,4,Neuquén,18.2308851652642
591,2017,4,Río Negro,15.187813662722721
592,2017,4,Salta,9.638816535753657
593,2017,4,San Juan,7.718528602820455
594,2017,4,San Luis,3.0299272402737993
595,2017,4,Santa Cruz,8.603821648608145
596,2017,4,Santa Fe,19.405680474329014
597,2017,4,Santiago Del Estero,7.228687949666727
598,2017,4,Tierra Del Fuego,17.758493353028065
599,2017,4,Tucumán,9.883286960651205
600,2017,3,Buenos Aires,17.935870973592106
601,2017,3,Capital Federal,51.2444496511116
602,2017,3,Catamarca,8.265091234974188
603,2017,3,Chaco,8.012103738024656
604,2017,3,Chubut,14.16737183585357
605,2017,3,Córdoba,19.076953915608296
606,2017,3,Corrientes,8.470212670540503
607,2017,3,Entre Ríos,13.741494179292031
608,2017,3,Formosa,5.43429504811395
609,2017,3,Jujuy,5.791142800512126
610,2017,3,La Pampa,22.780807976856142
611,2017,3,La Rioja,13.700651079810719
612,2017,3,Mendoza,9.964323465862444
613,2017,3,Misiones,8.227833589371523
614,2017,3,Neuquén,18.10848135178631
615,2017,3,Río Negro,14.924361907723748
616,2017,3,Salta,9.649427484390076
617,2017,3,San Juan,8.245115565495915
618,2017,3,San Luis,4.429809174940647
619,2017,3,Santa Cruz,9.907366563740627
620,2017,3,Santa Fe,19.152164898849556
621,2017,3,Santiago Del Estero,8.716515836151316
622,2017,3,Tierra Del Fuego,19.492764396867877
623,2017,3,Tucumán,9.833448455500244
624,2017,2,Buenos Aires,18.104156481000473
625,2017,2,Capital Federal,52.236738675121046
626,2017,2,Catamarca,6.608185687419579
627,2017,2,Chaco,7.763587198662014
628,2017,2,Chubut,10.897114883440475
629,2017,2,Córdoba,18.05661531060883
630,2017,2,Corrientes,8.265165616133114
631,2017,2,Entre Ríos,13.571663585663645
632,2017,2,Formosa,5.0818187061685505
633,2017,2,Jujuy,5.729417105648426
634,2017,2,La Pampa,20.920811368324546
635,2017,2,La Rioja,4.313641371128342
636,2017,2,Mendoza,8.863231962926129
637,2017,2,Misiones,8.196262181174568
638,2017,2,Neuquén,18.43063459528346
639,2017,2,Río Negro,14.1565144707972
640,2017,2,Salta,7.929941866624195
641,2017,2,San Juan,6.869062671706707
642,2017,2,San Luis,2.7229996991951935
643,2017,2,Santa Cruz,7.812000426302888
644,2017,2,Santa Fe,16.436519275562326
645,2017,2,Santiago Del Estero,3.5041532386183105
646,2017,2,Tierra Del Fuego,20.30130511507835
647,2017,2,Tucumán,9.459823731438563
648,2017,1,Buenos Aires,18.804855031011677
649,2017,1,Capital Federal,45.687714654171046
650,2017,1,Catamarca,6.527341318167275
651,2017,1,Chaco,7.65022534015797
652,2017,1,Chubut,10.932503392025788
653,2017,1,Córdoba,17.652242570602198
654,2017,1,Corrientes,8.147787146784857
655,2017,1,Entre Ríos,13.427434245008815
656,2017,1,Formosa,5.050590921688212
657,2017,1,Jujuy,5.81976940765058
658,2017,1,La Pampa,20.649049712429974
659,2017,1,La Rioja,4.311444393660782
660,2017,1,Mendoza,8.886706245725367
661,2017,1,Misiones,8.041713210556319
662,2017,1,Neuquén,18.166254008454768
663,2017,1,Río Negro,14.158945655638249
664,2017,1,Salta,7.8901262912821775
665,2017,1,San Juan,6.887390312005832
666,2017,1,San Luis,2.7319835263877543
667,2017,1,Santa Cruz,7.89382704275053
668,2017,1,Santa Fe,16.34225474583628
669,2017,1,Santiago Del Estero,3.6488508898009986
670,2017,1,Tierra Del Fuego,20.435486705666722
